id,round,teamId,serviceId,score,stolen,lost,attackerScore,victimScore
63841,210,0,0,5000,0,0,0,0
63842,210,0,1,5000,0,0,0,0
63843,210,0,2,5000,0,0,0,0
63844,210,0,3,5000,0,0,0,0
63845,210,0,4,5000,0,0,0,0
63846,210,0,5,5000,0,0,0,0
63847,210,0,6,5000,0,0,0,0
63848,210,0,7,5000,0,0,0,0
63849,210,1,0,5000,0,0,0,0
63850,210,1,1,5000,0,0,0,0
63851,210,1,2,2016.3885012595308,0,566,0,-2983.6114987404694
63852,210,1,3,4916.737467121434,0,5,0,-83.26253287856434
63853,210,1,4,5000,0,0,0,0
63855,210,1,5,0,0,5759,0,-4999.999999999989
63854,210,1,6,5000,0,0,0,0
63856,210,1,7,2239.2583457423066,0,537,0,-2760.7416542576952
63857,210,2,0,4651.982744385823,0,44,0,-348.017255614177
63858,210,2,1,1250.3454510293234,146,1171,2342.923103536249,-6092.577652506927
63860,210,2,2,2053.5912233823337,0,557,0,-2946.4087766176654
63859,210,2,3,10498.973789283846,1303,75,6591.51516057093,-1092.541371287088
63861,210,2,4,5000,0,0,0,0
63865,210,2,5,2332.0849560444203,1021,1497,7593.683081137603,-10261.598125093202
63862,210,2,6,0,0,3519,0,-5000.000000000006
63863,210,2,7,2176.44890557469,0,540,0,-2823.551094425321
63864,210,3,0,4553.316368284412,0,50,0,-446.68363171559037
63866,210,3,1,17672.651908476324,3511,32,13395.40295806465,-722.7510495884052
63867,210,3,2,17915.499597558613,3350,45,14091.01175502978,-1175.5121574712243
63870,210,3,3,12930.450239590147,2424,264,10946.687492827856,-3016.237253237692
63869,210,3,4,5000,0,0,0,0
63868,210,3,5,3915.0219688875923,1308,2171,12990.402506468625,-14075.380537581043
63871,210,3,6,10771.991839852959,2948,917,16550.528138686324,-10778.536298833325
63872,210,3,7,2895.311841562939,0,270,0,-2104.688158437063
63873,210,4,0,4709.075141344988,0,35,0,-290.92485865501453
63875,210,4,1,2332.725853093203,0,400,0,-2667.2741469068005
63874,210,4,2,2055.058886281282,0,559,0,-2944.941113718716
63876,210,4,3,1263.1435580648554,196,1455,1887.985244106838,-5624.841686041997
63877,210,4,4,5000,0,0,0,0
63878,210,4,5,2348.4895040696138,491,3269,5228.7279958681565,-7880.238491798547
63879,210,4,6,4255.159584592104,1331,2484,12188.293323788856,-12933.133739196745
63880,210,4,7,2290.5777964053245,0,496,0,-2709.4222035946846
63881,210,5,0,4639.852499104685,0,44,0,-360.14750089531566
63882,210,5,1,70.85902172878974,0,1140,0,-4929.14097827122
63885,210,5,2,2161.277328137008,0,560,0,-2838.722671862991
63883,210,5,3,8143.707062127448,1578,319,7035.81178214172,-3892.1047200142343
63884,210,5,4,5000,0,0,0,0
63886,210,5,5,2674.741995664848,2168,2917,22109.703718332596,-24434.961722667675
63888,210,5,6,565.2765700860346,991,3032,10435.696776529763,-14870.420206443683
63887,210,5,7,2178.388105666887,0,541,0,-2821.6118943331203
63890,210,6,0,4636.206800071623,0,45,0,-363.7931999283785
63889,210,6,1,5237.015619723884,1364,1083,9241.549184838075,-9004.533565114181
63891,210,6,2,13212.875708061854,1856,254,11357.274795386882,-3144.39908732503
63892,210,6,3,4998.824633917287,1143,900,6236.279902862081,-6237.455268944774
63894,210,6,4,5000,0,0,0,0
63893,210,6,5,8640.859198096681,1613,463,7838.179094980605,-4197.319896883894
63895,210,6,6,9764.812770990537,2833,814,15417.171387448589,-10652.358616458096
63896,210,6,7,2171.6498107109587,0,514,0,-2828.350189289041
63897,210,7,0,4641.332350808619,0,44,0,-358.66764919138194
63898,210,7,1,40.933928375562445,0,1181,0,-4959.066071624436
63899,210,7,2,2216.525821414511,0,548,0,-2783.4741785854903
63900,210,7,3,0,405,3149,6174.5270280857485,-11174.527028085777
63901,210,7,4,5000,0,0,0,0
63902,210,7,5,1.0244533011980184,248,5732,4136.653817201199,-9135.629363899987
63903,210,7,6,0,0,4212,0,-4999.999999999985
63904,210,7,7,2282.8154212697614,0,533,0,-2717.1845787302377
63905,210,8,0,4636.195135945815,0,45,0,-363.8048640541862
63906,210,8,1,39.16272028064274,0,1163,0,-4960.837279719353
63907,210,8,2,2245.479236331643,0,539,0,-2754.5207636683517
63910,210,8,3,1892.1343836904,442,3105,4713.34514850505,-7821.210764814663
63909,210,8,4,5000,0,0,0,0
63908,210,8,5,5921.575472226301,1640,954,11386.167115287415,-10464.59164306114
63911,210,8,6,8019.957496025706,1702,810,9479.905993483873,-6459.94849745816
63912,210,8,7,2195.7472955464173,0,539,0,-2804.252704453591
63913,210,9,0,5000,0,0,0,0
63915,210,9,1,2516.4234074175447,0,523,0,-2483.5765925824617
63914,210,9,2,2256.158003934526,0,540,0,-2743.8419960654664
63916,210,9,3,4905.645866642768,1314,924,8153.818131306816,-8248.172264664057
63917,210,9,4,5000,0,0,0,0
63918,210,9,5,3282.495907003624,2184,2266,19087.548610925624,-20805.052703921978
63920,210,9,6,0,0,4285,0,-4999.999999999977
63919,210,9,7,2547.938760943972,0,367,0,-2452.0612390560304
63921,210,10,0,4982.415469157123,0,1,0,-17.584530842877303
63923,210,10,1,6686.060612303415,517,268,3372.7709063394987,-1686.710294036083
63922,210,10,2,3729.979398271879,0,169,0,-1270.020601728121
63924,210,10,3,12530.590931168963,2039,28,8007.672914131916,-477.0819829629341
63925,210,10,4,5000,0,0,0,0
63926,210,10,5,13009.871786430163,2450,231,11893.707699261433,-3883.835912831243
63927,210,10,6,11911.445156863017,2397,129,8407.728667054622,-1496.2835101916135
63929,210,10,7,13113.103985659061,1882,330,12137.390920084317,-4024.28693442527
63928,210,11,0,5000,0,0,0,0
63930,210,11,1,13664.085621461167,2241,160,10145.605369719096,-1481.5197482579333
63931,210,11,2,3975.3987647386207,0,140,0,-1024.6012352613773
63932,210,11,3,10112.240989750184,1657,85,6232.118410525048,-1119.8774207748088
63933,210,11,4,5000,0,0,0,0
63934,210,11,5,15590.662770790968,3414,123,13037.15656720418,-2446.493796413174
63935,210,11,6,15842.72873574965,3671,128,13169.023272560908,-2326.2945368112637
63936,210,11,7,9855.577299693336,716,179,6637.059786957937,-1781.4824872646077
63938,210,12,0,4644.2348078592495,0,44,0,-355.76519214075273
63937,210,12,1,10943.645006030512,1621,439,9665.475039839745,-3721.830033809242
63939,210,12,2,10605.052662503906,965,500,9287.581541396868,-3682.528878892983
63940,210,12,3,2076.4449024539313,657,2417,7316.753114771261,-10240.308212317372
63941,210,12,4,5000,0,0,0,0
63942,210,12,5,4331.319476076832,1438,1698,11929.429494606758,-12598.110018529906
63943,210,12,6,10418.023384388129,2347,644,10922.210660367939,-5504.187275979843
63944,210,12,7,2193.0315806093176,0,534,0,-2806.9684193906787
63945,210,13,0,4569.253937784781,0,49,0,-430.7460622152204
63946,210,13,1,11594.505204406281,1456,179,8403.26792146446,-1808.7627170582034
63948,210,13,2,2034.8932409195015,0,556,0,-2965.1067590804964
63950,210,13,3,14231.229204829662,2725,77,11086.748761585015,-1855.5195567554767
63949,210,13,4,5000,0,0,0,0
63947,210,13,5,10033.717626846965,2286,482,11707.773960978018,-6674.056334131062
63951,210,13,6,6910.560873974493,1887,1784,15468.731366574862,-13558.170492600279
63953,210,13,7,7882.046807710643,462,369,5592.381947337054,-2710.335139626403
63952,210,14,0,5000,0,0,0,0
63955,210,14,1,2828.520972343728,0,423,0,-2171.4790276562744
63954,210,14,2,10164.211832155002,643,89,6063.382399530489,-899.170567375476
63956,210,14,3,7706.537969220296,1698,469,7513.915940055568,-4807.377970835264
63957,210,14,4,5000,0,0,0,0
63959,210,14,5,12353.116303670175,2404,243,10823.714221153974,-3470.597917483741
63960,210,14,6,9854.98018185126,2945,677,14302.297031315258,-9447.316849464052
63958,210,14,7,2242.6031866060657,0,514,0,-2757.396813393934
63961,210,15,0,4574.987249258962,0,48,0,-425.0127507410399
63963,210,15,1,9500.447471922527,992,162,6781.987334262532,-2281.539862339985
63962,210,15,2,17613.12073723134,3418,90,14567.655434085704,-1954.5346968542522
63965,210,15,3,9415.875771123316,1586,329,7781.6587615287235,-3365.7829904053874
63964,210,15,4,5000,0,0,0,0
63966,210,15,5,12881.58369682282,2620,80,9357.132822213696,-1475.5491253908328
63968,210,15,6,17677.223181442452,3608,7,12791.06563087625,-113.842449433815
63967,210,15,7,17649.259802103716,2640,34,12942.60149487644,-293.34169277271184
63970,210,16,0,4636.203396459856,0,45,0,-363.79660354014493
