id,flag,round,status,teamId,serviceId
913,040000QZ3AR1T7MRA3S8Y5KEHP4D47B=,4,READY,0,0
70,0108050NFBYVQWSVM1SH8EH04598890=,1,READY,8,5
23,010206WWGEMO4KY61UTWDU9JL35CD9B=,1,FAILED,2,6
53,010604KHK6TKKUAY5Q1JVIGCSNVC14C=,1,READY,6,4
16,010107GVKD0PYOPT7G3QF8BH0ML9C4B=,1,READY,1,7
72,010807O5G2TNU3VYX58M2WGEFE5A873=,1,READY,8,7
67,010802FWY42YGLYLNSKZB9OU2QWFBF4=,1,READY,8,2
75,010902N2YLNT8F5R5MUEB5C1NAL839F=,1,READY,9,2
95,010B06EPRHZ7LRMX214ZFW8C6I82914=,1,READY,11,6
28,0103037UZP7K692QQVDUU6SYZDR34E3=,1,READY,3,3
94,010B050JNWVOH6AM9OVO0BA8BAZ2748=,1,READY,11,5
78,010905LLD1A147KM3KL0DTA8XZEFB2C=,1,READY,9,5
85,010A04L7AZGG4SJ43ALC2RZL4UCF2EA=,1,READY,10,4
88,010A07CK7NFNPKMJ9ZTL05BJH2J8D0D=,1,READY,10,7
77,010904AJN0FU32KT667QK47VBTG358B=,1,READY,9,4
2,0100011V0QPRDZPL804TBENYIYSB7C9=,1,READY,0,1
25,010300DAKUJX4INY5Q33FO5BQRX5624=,1,READY,3,0
1,0100004FIFVB6OY7YWBRTGVEDEG523B=,1,READY,0,0
14,010105RQCF7OTWT3SBT7R85C11K176A=,1,READY,1,5
48,010507T0ZAZFKQ1GLHTM3E4SOA44633=,1,READY,5,7
90,010B01E7MATTRWX0NQEDNTEEHIL497C=,1,READY,11,1
93,010B04A8EVMH4KTTP9XFS0ZL2AY1A2E=,1,READY,11,4
15,01010691ITXVD2ILHOVLZGN1TC81BF1=,1,READY,1,6
61,010704MNM5IMWHNYKLZSIM697EJ50A3=,1,READY,7,4
24,010207AC3TOSIVT1IIVL2OL7MTXC438=,1,FAILED,2,7
71,010806BJFNGLW0I7C0B99K9UIBX831C=,1,FAILED,8,6
58,010701AFLYEK5Y6VATWFSI07AX1457B=,1,READY,7,1
47,010506R2IIP8V6CSCPNVVQ8S51U88E9=,1,READY,5,6
89,010B003JVX1449NQW17BW6226SO1CE4=,1,READY,11,0
5,0100043X5P8J8AXSG6AU1ANP3D4D35B=,1,READY,0,4
80,010907SX4FC4PFNUOGRHSAJJO4GEDB0=,1,READY,9,7
32,010307OTSWKQM9DIKJ4U2QQM48I1538=,1,READY,3,7
11,010102JQS1YL2FI9ASND9MV7V6J5E0E=,1,READY,1,2
82,010A01BA9CUU0RNJI864VK9IW17D750=,1,READY,10,1
33,0104005YLZV6DRSCIMRP9F5XXKAB75F=,1,READY,4,0
91,010B02O0VSD91SP9LYQ2L1WGJZN5718=,1,FAILED,11,2
46,010505Q0GHAB2PQ3G0M8AEO8NC48C62=,1,READY,5,5
54,01060539NQF0SA2PBPTGA4UQNU078A5=,1,READY,6,5
6,010005ZP19Q2YZVZS80YHTWUKHBB4A1=,1,READY,0,5
17,010200RHER7I03LKGBF7T5WPWU1E121=,1,FAILED,2,0
39,010406M3XBHO8ZUNCMZGVHLQN14A9A3=,1,READY,4,6
20,010203QKUH8J7LXAWNFZO8FV3ZB9FD1=,1,READY,2,3
79,010906VMRSDO1F57RK5KKEN2FJR25D1=,1,READY,9,6
83,010A028FFCD00UFVUY4F2017NAT201F=,1,READY,10,2
96,010B07IXZB3PR96H0UEOGATWHS13B2E=,1,READY,11,7
97,010C00MA4AX0UTQ9XT14B7Z0531F1C8=,1,READY,12,0
42,010501P79IRISJCIEI94PYL95LH4339=,1,READY,5,1
29,010304S0DL7WK5200OWALT9K4TQE3EA=,1,READY,3,4
68,010803ON700PBLV7AF8D2TTJS3U5EFC=,1,READY,8,3
64,010707ZMK5O6HEQNOHODZP7IJTB0E5C=,1,READY,7,7
