round,shortname,attackers,victims,firstBloodTeamId,firstBloodTimestamp
0,APT-Finals-1,0,0,,
0,Diese-1,0,0,,
0,Diese-2,0,0,,
0,CookingNonna,0,0,,
0,APT-Finals-2,0,0,,
0,duogesto,0,0,,
0,fonograph,0,0,,
0,Sanromolo,0,0,,
1,APT-Finals-1,0,0,,
1,CookingNonna,0,0,,
1,Diese-1,0,0,,
1,APT-Finals-2,0,0,,
1,Diese-2,0,0,,
1,duogesto,0,0,,
1,fonograph,0,0,,
1,Sanromolo,0,0,,
2,APT-Finals-1,0,0,,
2,Diese-1,6,1,20,2024-10-10T09:02:01.279Z
2,APT-Finals-2,0,0,,
2,CookingNonna,0,0,,
2,Diese-2,0,0,,
2,duogesto,1,35,11,2024-10-10T09:03:16.013Z
2,fonograph,0,0,,
2,Sanromolo,0,0,,
3,APT-Finals-1,0,0,,
3,CookingNonna,0,0,,
3,APT-Finals-2,0,0,,
3,Diese-2,0,0,,
3,Diese-1,7,1,20,2024-10-10T09:02:01.279Z
3,duogesto,1,35,11,2024-10-10T09:03:16.013Z
3,Sanromolo,0,0,,
3,fonograph,0,0,,
4,APT-Finals-1,0,0,,
4,APT-Finals-2,0,0,,
4,CookingNonna,0,0,,
4,Diese-1,6,2,20,2024-10-10T09:02:01.279Z
4,Diese-2,0,0,,
4,duogesto,1,34,11,2024-10-10T09:03:16.013Z
4,fonograph,0,0,,
4,Sanromolo,0,0,,
5,APT-Finals-1,0,0,,
5,APT-Finals-2,0,0,,
5,CookingNonna,0,0,,
5,Diese-1,6,3,20,2024-10-10T09:02:01.279Z
5,Diese-2,0,0,,
5,duogesto,1,30,11,2024-10-10T09:03:16.013Z
5,Sanromolo,0,0,,
5,fonograph,0,0,,
6,APT-Finals-1,0,0,,
6,CookingNonna,0,0,,
6,Diese-2,0,0,,
6,Diese-1,9,3,20,2024-10-10T09:02:01.279Z
6,APT-Finals-2,0,0,,
6,duogesto,1,33,11,2024-10-10T09:03:16.013Z
6,fonograph,0,0,,
6,Sanromolo,0,0,,
7,APT-Finals-1,0,0,,
7,APT-Finals-2,0,0,,
7,Diese-2,0,0,,
7,CookingNonna,0,0,,
7,Diese-1,8,3,20,2024-10-10T09:02:01.279Z
7,duogesto,2,35,11,2024-10-10T09:03:16.013Z
7,fonograph,0,0,,
7,Sanromolo,0,0,,
8,APT-Finals-1,0,0,,
8,Diese-1,9,2,20,2024-10-10T09:02:01.279Z
8,Diese-2,0,0,,
8,CookingNonna,0,0,,
8,APT-Finals-2,0,0,,
8,duogesto,2,34,11,2024-10-10T09:03:16.013Z
8,fonograph,0,0,,
8,Sanromolo,0,0,,
9,APT-Finals-1,0,0,,
9,APT-Finals-2,0,0,,
9,Diese-1,8,2,20,2024-10-10T09:02:01.279Z
9,Diese-2,0,0,,
9,CookingNonna,0,0,,
9,duogesto,3,35,11,2024-10-10T09:03:16.013Z
9,fonograph,0,0,,
9,Sanromolo,0,0,,
10,APT-Finals-1,0,0,,
10,Diese-1,9,1,20,2024-10-10T09:02:01.279Z
10,CookingNonna,0,0,,
