id,round,teamId,serviceId,score,stolen,lost,attackerScore,victimScore
1,0,0,0,5000,0,0,0,0
2,0,1,0,5000,0,0,0,0
3,0,2,0,5000,0,0,0,0
4,0,3,0,5000,0,0,0,0
5,0,4,0,5000,0,0,0,0
6,0,5,0,5000,0,0,0,0
7,0,6,0,5000,0,0,0,0
8,0,7,0,5000,0,0,0,0
9,0,8,0,5000,0,0,0,0
10,0,9,0,5000,0,0,0,0
11,0,10,0,5000,0,0,0,0
12,0,11,0,5000,0,0,0,0
13,0,12,0,5000,0,0,0,0
14,0,13,0,5000,0,0,0,0
15,0,14,0,5000,0,0,0,0
16,0,15,0,5000,0,0,0,0
17,0,16,0,5000,0,0,0,0
18,0,17,0,5000,0,0,0,0
19,0,18,0,5000,0,0,0,0
20,0,19,0,5000,0,0,0,0
21,0,20,0,5000,0,0,0,0
22,0,21,0,5000,0,0,0,0
23,0,22,0,5000,0,0,0,0
24,0,23,0,5000,0,0,0,0
25,0,24,0,5000,0,0,0,0
26,0,25,0,5000,0,0,0,0
27,0,26,0,5000,0,0,0,0
28,0,27,0,5000,0,0,0,0
29,0,28,0,5000,0,0,0,0
30,0,29,0,5000,0,0,0,0
31,0,30,0,5000,0,0,0,0
32,0,31,0,5000,0,0,0,0
33,0,32,0,5000,0,0,0,0
34,0,33,0,5000,0,0,0,0
35,0,34,0,5000,0,0,0,0
36,0,35,0,5000,0,0,0,0
37,0,36,0,5000,0,0,0,0
38,0,37,0,5000,0,0,0,0
39,0,0,1,5000,0,0,0,0
40,0,1,1,5000,0,0,0,0
41,0,2,1,5000,0,0,0,0
42,0,3,1,5000,0,0,0,0
43,0,4,1,5000,0,0,0,0
44,0,5,1,5000,0,0,0,0
45,0,6,1,5000,0,0,0,0
46,0,7,1,5000,0,0,0,0
47,0,8,1,5000,0,0,0,0
48,0,9,1,5000,0,0,0,0
49,0,10,1,5000,0,0,0,0
50,0,11,1,5000,0,0,0,0
51,0,12,1,5000,0,0,0,0
52,0,13,1,5000,0,0,0,0
53,0,14,1,5000,0,0,0,0
54,0,15,1,5000,0,0,0,0
55,0,16,1,5000,0,0,0,0
56,0,17,1,5000,0,0,0,0
57,0,18,1,5000,0,0,0,0
58,0,19,1,5000,0,0,0,0
59,0,20,1,5000,0,0,0,0
60,0,21,1,5000,0,0,0,0
61,0,22,1,5000,0,0,0,0
62,0,23,1,5000,0,0,0,0
63,0,24,1,5000,0,0,0,0
64,0,25,1,5000,0,0,0,0
65,0,26,1,5000,0,0,0,0
66,0,27,1,5000,0,0,0,0
67,0,28,1,5000,0,0,0,0
68,0,29,1,5000,0,0,0,0
69,0,30,1,5000,0,0,0,0
70,0,31,1,5000,0,0,0,0
71,0,32,1,5000,0,0,0,0
72,0,33,1,5000,0,0,0,0
73,0,34,1,5000,0,0,0,0
74,0,35,1,5000,0,0,0,0
75,0,36,1,5000,0,0,0,0
76,0,37,1,5000,0,0,0,0
77,0,0,2,5000,0,0,0,0
78,0,1,2,5000,0,0,0,0
79,0,2,2,5000,0,0,0,0
80,0,3,2,5000,0,0,0,0
81,0,4,2,5000,0,0,0,0
82,0,5,2,5000,0,0,0,0
83,0,6,2,5000,0,0,0,0
84,0,7,2,5000,0,0,0,0
85,0,8,2,5000,0,0,0,0
86,0,9,2,5000,0,0,0,0
87,0,10,2,5000,0,0,0,0
88,0,11,2,5000,0,0,0,0
89,0,12,2,5000,0,0,0,0
90,0,13,2,5000,0,0,0,0
91,0,14,2,5000,0,0,0,0
92,0,15,2,5000,0,0,0,0
93,0,16,2,5000,0,0,0,0
94,0,17,2,5000,0,0,0,0
95,0,18,2,5000,0,0,0,0
96,0,19,2,5000,0,0,0,0
97,0,20,2,5000,0,0,0,0
98,0,21,2,5000,0,0,0,0
99,0,22,2,5000,0,0,0,0
100,0,23,2,5000,0,0,0,0
101,0,24,2,5000,0,0,0,0
102,0,25,2,5000,0,0,0,0
103,0,26,2,5000,0,0,0,0
104,0,27,2,5000,0,0,0,0
105,0,28,2,5000,0,0,0,0
106,0,29,2,5000,0,0,0,0
107,0,30,2,5000,0,0,0,0
108,0,31,2,5000,0,0,0,0
109,0,32,2,5000,0,0,0,0
110,0,33,2,5000,0,0,0,0
111,0,34,2,5000,0,0,0,0
112,0,35,2,5000,0,0,0,0
113,0,36,2,5000,0,0,0,0
114,0,37,2,5000,0,0,0,0
115,0,0,3,5000,0,0,0,0
116,0,1,3,5000,0,0,0,0
117,0,2,3,5000,0,0,0,0
118,0,3,3,5000,0,0,0,0
119,0,4,3,5000,0,0,0,0
120,0,5,3,5000,0,0,0,0
121,0,6,3,5000,0,0,0,0
122,0,7,3,5000,0,0,0,0
123,0,8,3,5000,0,0,0,0
124,0,9,3,5000,0,0,0,0
125,0,10,3,5000,0,0,0,0
126,0,11,3,5000,0,0,0,0
127,0,12,3,5000,0,0,0,0
128,0,13,3,5000,0,0,0,0
129,0,14,3,5000,0,0,0,0
130,0,15,3,5000,0,0,0,0
131,0,16,3,5000,0,0,0,0
132,0,17,3,5000,0,0,0,0
133,0,18,3,5000,0,0,0,0
134,0,19,3,5000,0,0,0,0
135,0,20,3,5000,0,0,0,0
136,0,21,3,5000,0,0,0,0
137,0,22,3,5000,0,0,0,0
138,0,23,3,5000,0,0,0,0
139,0,24,3,5000,0,0,0,0
140,0,25,3,5000,0,0,0,0
141,0,26,3,5000,0,0,0,0
142,0,27,3,5000,0,0,0,0
143,0,28,3,5000,0,0,0,0
144,0,29,3,5000,0,0,0,0
145,0,30,3,5000,0,0,0,0
146,0,31,3,5000,0,0,0,0
147,0,32,3,5000,0,0,0,0
148,0,33,3,5000,0,0,0,0
149,0,34,3,5000,0,0,0,0
150,0,35,3,5000,0,0,0,0
151,0,36,3,5000,0,0,0,0
152,0,37,3,5000,0,0,0,0
153,0,0,4,5000,0,0,0,0
154,0,1,4,5000,0,0,0,0
155,0,2,4,5000,0,0,0,0
156,0,3,4,5000,0,0,0,0
157,0,4,4,5000,0,0,0,0
158,0,5,4,5000,0,0,0,0
159,0,6,4,5000,0,0,0,0
160,0,7,4,5000,0,0,0,0
161,0,8,4,5000,0,0,0,0
162,0,9,4,5000,0,0,0,0
163,0,10,4,5000,0,0,0,0
164,0,11,4,5000,0,0,0,0
165,0,12,4,5000,0,0,0,0
166,0,13,4,5000,0,0,0,0
167,0,14,4,5000,0,0,0,0
168,0,15,4,5000,0,0,0,0
169,0,16,4,5000,0,0,0,0
170,0,17,4,5000,0,0,0,0
171,0,18,4,5000,0,0,0,0
172,0,19,4,5000,0,0,0,0
173,0,20,4,5000,0,0,0,0
174,0,21,4,5000,0,0,0,0
175,0,22,4,5000,0,0,0,0
176,0,23,4,5000,0,0,0,0
177,0,24,4,5000,0,0,0,0
178,0,25,4,5000,0,0,0,0
179,0,26,4,5000,0,0,0,0
180,0,27,4,5000,0,0,0,0
181,0,28,4,5000,0,0,0,0
182,0,29,4,5000,0,0,0,0
183,0,30,4,5000,0,0,0,0
184,0,31,4,5000,0,0,0,0
185,0,32,4,5000,0,0,0,0
186,0,33,4,5000,0,0,0,0
187,0,34,4,5000,0,0,0,0
188,0,35,4,5000,0,0,0,0
189,0,36,4,5000,0,0,0,0
190,0,37,4,5000,0,0,0,0
191,0,0,5,5000,0,0,0,0
192,0,1,5,5000,0,0,0,0
193,0,2,5,5000,0,0,0,0
194,0,3,5,5000,0,0,0,0
195,0,4,5,5000,0,0,0,0
196,0,5,5,5000,0,0,0,0
197,0,6,5,5000,0,0,0,0
198,0,7,5,5000,0,0,0,0
199,0,8,5,5000,0,0,0,0
200,0,9,5,5000,0,0,0,0
201,0,10,5,5000,0,0,0,0
202,0,11,5,5000,0,0,0,0
203,0,12,5,5000,0,0,0,0
204,0,13,5,5000,0,0,0,0
205,0,14,5,5000,0,0,0,0
206,0,15,5,5000,0,0,0,0
207,0,16,5,5000,0,0,0,0
208,0,17,5,5000,0,0,0,0
209,0,18,5,5000,0,0,0,0
210,0,19,5,5000,0,0,0,0
211,0,20,5,5000,0,0,0,0
212,0,21,5,5000,0,0,0,0
213,0,22,5,5000,0,0,0,0
214,0,23,5,5000,0,0,0,0
215,0,24,5,5000,0,0,0,0
216,0,25,5,5000,0,0,0,0
217,0,26,5,5000,0,0,0,0
218,0,27,5,5000,0,0,0,0
219,0,28,5,5000,0,0,0,0
220,0,29,5,5000,0,0,0,0
221,0,30,5,5000,0,0,0,0
222,0,31,5,5000,0,0,0,0
223,0,32,5,5000,0,0,0,0
224,0,33,5,5000,0,0,0,0
225,0,34,5,5000,0,0,0,0
226,0,35,5,5000,0,0,0,0
227,0,36,5,5000,0,0,0,0
228,0,37,5,5000,0,0,0,0
229,0,0,6,5000,0,0,0,0
230,0,1,6,5000,0,0,0,0
231,0,2,6,5000,0,0,0,0
232,0,3,6,5000,0,0,0,0
233,0,4,6,5000,0,0,0,0
234,0,5,6,5000,0,0,0,0
235,0,6,6,5000,0,0,0,0
236,0,7,6,5000,0,0,0,0
237,0,8,6,5000,0,0,0,0
238,0,9,6,5000,0,0,0,0
239,0,10,6,5000,0,0,0,0
240,0,11,6,5000,0,0,0,0
241,0,12,6,5000,0,0,0,0
242,0,13,6,5000,0,0,0,0
243,0,14,6,5000,0,0,0,0
244,0,15,6,5000,0,0,0,0
245,0,16,6,5000,0,0,0,0
246,0,17,6,5000,0,0,0,0
247,0,18,6,5000,0,0,0,0
248,0,19,6,5000,0,0,0,0
249,0,20,6,5000,0,0,0,0
250,0,21,6,5000,0,0,0,0
251,0,22,6,5000,0,0,0,0
252,0,23,6,5000,0,0,0,0
253,0,24,6,5000,0,0,0,0
254,0,25,6,5000,0,0,0,0
255,0,26,6,5000,0,0,0,0
256,0,27,6,5000,0,0,0,0
257,0,28,6,5000,0,0,0,0
258,0,29,6,5000,0,0,0,0
259,0,30,6,5000,0,0,0,0
260,0,31,6,5000,0,0,0,0
261,0,32,6,5000,0,0,0,0
262,0,33,6,5000,0,0,0,0
263,0,34,6,5000,0,0,0,0
264,0,35,6,5000,0,0,0,0
265,0,36,6,5000,0,0,0,0
266,0,37,6,5000,0,0,0,0
267,0,0,7,5000,0,0,0,0
268,0,1,7,5000,0,0,0,0
269,0,2,7,5000,0,0,0,0
270,0,3,7,5000,0,0,0,0
271,0,4,7,5000,0,0,0,0
272,0,5,7,5000,0,0,0,0
273,0,6,7,5000,0,0,0,0
274,0,7,7,5000,0,0,0,0
275,0,8,7,5000,0,0,0,0
276,0,9,7,5000,0,0,0,0
277,0,10,7,5000,0,0,0,0
278,0,11,7,5000,0,0,0,0
279,0,12,7,5000,0,0,0,0
280,0,13,7,5000,0,0,0,0
281,0,14,7,5000,0,0,0,0
282,0,15,7,5000,0,0,0,0
283,0,16,7,5000,0,0,0,0
284,0,17,7,5000,0,0,0,0
285,0,18,7,5000,0,0,0,0
286,0,19,7,5000,0,0,0,0
287,0,20,7,5000,0,0,0,0
288,0,21,7,5000,0,0,0,0
289,0,22,7,5000,0,0,0,0
290,0,23,7,5000,0,0,0,0
291,0,24,7,5000,0,0,0,0
292,0,25,7,5000,0,0,0,0
293,0,26,7,5000,0,0,0,0
294,0,27,7,5000,0,0,0,0
295,0,28,7,5000,0,0,0,0
296,0,29,7,5000,0,0,0,0
297,0,30,7,5000,0,0,0,0
298,0,31,7,5000,0,0,0,0
299,0,32,7,5000,0,0,0,0
300,0,33,7,5000,0,0,0,0
301,0,34,7,5000,0,0,0,0
302,0,35,7,5000,0,0,0,0
303,0,36,7,5000,0,0,0,0
304,0,37,7,5000,0,0,0,0
305,1,0,0,5000,0,0,0,0
306,1,0,1,5000,0,0,0,0
307,1,0,3,5000,0,0,0,0
308,1,0,4,5000,0,0,0,0
309,1,0,2,5000,0,0,0,0
310,1,0,5,5000,0,0,0,0
311,1,0,6,5000,0,0,0,0
312,1,0,7,5000,0,0,0,0
313,1,1,0,5000,0,0,0,0
314,1,1,1,5000,0,0,0,0
315,1,1,2,5000,0,0,0,0
316,1,1,3,5000,0,0,0,0
317,1,1,4,5000,0,0,0,0
318,1,1,5,5000,0,0,0,0
319,1,1,6,5000,0,0,0,0
320,1,1,7,5000,0,0,0,0
321,1,2,0,5000,0,0,0,0
322,1,2,1,5000,0,0,0,0
328,1,3,0,5000,0,0,0,0
333,1,3,5,5000,0,0,0,0
338,1,4,1,5000,0,0,0,0
342,1,4,5,5000,0,0,0,0
349,1,5,3,5000,0,0,0,0
352,1,6,0,5000,0,0,0,0
357,1,6,4,5000,0,0,0,0
363,1,7,1,5000,0,0,0,0
369,1,7,6,5000,0,0,0,0
373,1,8,3,5000,0,0,0,0
376,1,8,7,5000,0,0,0,0
384,1,9,7,5000,0,0,0,0
389,1,10,4,5000,0,0,0,0
391,1,10,6,5000,0,0,0,0
399,1,11,5,5000,0,0,0,0
404,1,12,3,5000,0,0,0,0
409,1,13,0,5000,0,0,0,0
414,1,13,6,5000,0,0,0,0
419,1,14,2,5000,0,0,0,0
423,1,14,6,5000,0,0,0,0
429,1,15,4,5000,0,0,0,0
434,1,16,1,5000,0,0,0,0
440,1,16,7,5000,0,0,0,0
444,1,17,2,5000,0,0,0,0
449,1,18,1,5000,0,0,0,0
454,1,18,5,5000,0,0,0,0
458,1,19,1,5000,0,0,0,0
464,1,19,7,5000,0,0,0,0
469,1,20,4,5000,0,0,0,0
475,1,21,2,5000,0,0,0,0
479,1,21,6,5000,0,0,0,0
483,1,22,3,5000,0,0,0,0
488,1,22,7,5000,0,0,0,0
493,1,23,4,5000,0,0,0,0
499,1,24,1,5000,0,0,0,0
503,1,24,7,5000,0,0,0,0
510,1,25,4,5000,0,0,0,0
514,1,26,1,5000,0,0,0,0
520,1,26,7,5000,0,0,0,0
524,1,27,3,5000,0,0,0,0
530,1,27,7,5000,0,0,0,0
534,1,28,6,5000,0,0,0,0
