id,name,shortname
0,NOP Team,cybersecnatlab
1,Albania,albania
2,Australia,australia
3,Austria,austria
4,Belgium,belgium
5,Bulgaria,bulgaria
6,Canada,canada
7,Costa Rica,costa-rica
8,Croatia,croatia
9,Cyprus,cyprus
10,Czech Republic,czech
11,Denmark,denmark
12,Estonia,estonia
13,Finland,finland
14,France,france
15,Germany,germany
16,Greece,greece
17,Hungary,hungary
18,Iceland,iceland
19,Ireland,ireland
20,Italy,italy
21,Kosovo,kosovo
22,Latvia,latvia
23,Liechtenstein,liechtenstein
24,Luxembourg,luxembourg
25,Netherlands,netherlands
26,Norway,norway
27,Poland,poland
28,Portugal,portugal
29,Romania,romania
30,Serbia,serbia
31,Singapore,singapore
32,Slovakia,slovakia
33,Slovenia,slovenia
34,Spain,spain
35,Sweden,sweden
36,Switzerland,switzerland
37,USA,usa
